loan_id,customer_id,loan_amount,loan_type,interest_rate,term,issue_date,status,credit_score_band,exposure_at_default,recovered_amount
59,608,4412910,mortgage,14.9,36,2022-05-26,active,300-500,4054552.7036282546,0.0
60,372,2886262,auto,14.2,36,2021-11-24,paid,300-500,3101748.991007861,0.0
61,198,4192531,mortgage,19.2,24,2020-12-05,active,500-600,4074424.6364001343,0.0
62,863,3281593,personal,6.8,12,2021-05-05,paid,500-600,3448469.394960586,0.0
63,949,1039516,auto,17.9,24,2021-05-09,active,600-700,1174060.8433323493,0.0
64,203,1706609,mortgage,17.3,60,2022-08-30,paid,600-700,1597947.1721845665,0.0
65,313,3579769,personal,9.7,120,2021-12-30,active,700+,3677625.620263349,0.0
66,860,3619684,mortgage,15.8,36,2020-06-11,paid,600-700,4021596.182494579,0.0
67,763,38885,mortgage,9.4,24,2021-07-11,default,700+,42231.026140334856,4725.694680275857
68,861,4600723,auto,7.9,120,2021-03-31,active,500-600,4674046.444928292,0.0
69,886,2822753,personal,16.5,120,2020-04-01,active,300-500,2691081.1820224696,0.0
70,264,4599764,auto,24.5,12,2020-04-14,paid,700+,4429576.377281724,0.0
71,1098,4564770,mortgage,9.7,36,2021-12-19,default,300-500,4442681.048665677,497140.51768658456
72,952,3139985,mortgage,12.1,120,2021-03-14,active,600-700,2950135.891283193,0.0
73,619,1389339,personal,10.1,36,2021-05-12,active,300-500,1499972.4174008071,0.0
74,383,2128736,auto,10.3,24,2020-11-23,paid,600-700,1809779.1849840502,0.0
75,616,1853529,business,13.1,120,2021-10-12,active,700+,2200104.907567589,0.0
76,756,829973,personal,19.0,120,2021-06-24,active,500-600,922593.1736111301,0.0
77,712,2660503,personal,5.8,24,2021-05-23,paid,500-600,2445707.8779115435,0.0
78,263,1128844,mortgage,24.1,36,2020-09-07,active,500-600,922287.0273142966,0.0
79,985,2887746,auto,5.9,36,2022-08-22,active,500-600,3131821.9563298216,0.0
80,758,3806234,personal,22.6,120,2020-07-09,active,300-500,4163044.146068683,0.0
81,163,1438926,mortgage,22.9,24,2020-02-16,paid,600-700,1705773.4513904015,0.0
82,190,3904142,mortgage,15.5,60,2022-05-28,active,500-600,3519514.609185048,0.0
83,216,3326363,personal,7.7,36,2020-09-07,default,500-600,2771159.871690797,310095.60175795644
84,965,1467913,mortgage,16.3,60,2022-02-13,paid,500-600,1711665.683042695,0.0
85,366,1977754,personal,17.6,120,2022-06-03,active,600-700,1786820.8651206219,0.0
86,921,1256729,auto,22.2,60,2020-03-04,paid,300-500,1368090.9977055578,0.0
87,784,2791652,mortgage,16.0,60,2022-04-29,active,600-700,2301057.8397043655,0.0
88,658,2101219,mortgage,13.2,36,2020-11-15,default,700+,2320237.297330887,259636.9081001749
89,239,998167,personal,21.8,120,2022-05-09,active,500-600,849250.8234670752,0.0
90,345,4227635,personal,24.6,60,2022-02-18,default,300-500,4558382.076201146,510087.58007881464
91,760,4227308,auto,17.9,36,2021-06-07,active,600-700,4281997.609974032,0.0
92,857,3394169,mortgage,22.5,60,2020-10-18,active,300-500,4012570.4769199723,0.0
93,494,3012827,mortgage,17.0,36,2020-01-29,paid,300-500,2454752.188735913,0.0
94,586,3559436,mortgage,18.8,120,2021-10-12,active,600-700,3263360.3278222303,0.0
95,575,458013,mortgage,18.8,24,2021-03-12,paid,500-600,379144.79510200367,0.0
96,616,2296319,personal,19.1,36,2022-08-23,active,300-500,2644622.493822414,0.0
97,1076,941253,personal,11.4,36,2021-08-19,active,700+,976606.8970347915,0.0
98,283,1854053,personal,16.5,60,2021-08-08,paid,500-600,1879987.2058804,0.0
99,119,552955,auto,16.9,120,2022-02-01,active,700+,471440.11949406966,0.0
100,1036,3560227,personal,11.3,12,2022-01-05,paid,300-500,3544607.9385427483,0.0
101,657,3317735,personal,12.0,12,2020-02-16,active,700+,3183305.2285618936,0.0
102,623,4801126,auto,20.2,24,2021-02-20,active,600-700,4447286.601468334,0.0
103,681,1808278,personal,16.7,120,2021-08-15,default,300-500,2005155.320028435,224378.91510135288
104,628,3318424,mortgage,8.0,36,2021-03-26,active,600-700,2736075.1524833036,0.0
105,982,383145,personal,21.8,12,2021-09-24,active,700+,405625.76120407635,0.0
106,246,3464373,personal,22.7,24,2021-07-08,paid,300-500,3911960.3345940397,0.0
107,765,2063413,mortgage,14.3,120,2021-10-19,active,600-700,2399590.256979468,0.0
108,403,4998604,personal,9.2,24,2020-03-14,active,500-600,5490299.869684308,0.0
109,719,695611,auto,24.0,12,2020-02-22,paid,600-700,635080.5108904969,0.0
110,847,1667387,mortgage,22.6,60,2020-08-20,paid,600-700,1734420.9332320944,0.0
111,919,2801241,personal,9.9,60,2022-03-17,active,300-500,2399435.036976536,0.0
112,963,2647174,personal,6.9,120,2022-05-24,active,300-500,2241691.1358403815,0.0
113,681,1230985,mortgage,13.8,24,2020-07-18,default,500-600,1299242.6958441518,145386.5761095922
114,794,3589269,personal,18.5,36,2021-11-04,active,700+,4093356.928104715,0.0
115,861,355744,personal,8.5,12,2021-07-02,active,500-600,294164.4468915541,0.0
116,327,2038594,mortgage,15.3,60,2022-07-25,late,600-700,1717314.62892182,0.0
117,201,1853441,auto,13.5,60,2020-04-06,active,300-500,1902080.7093956696,0.0
118,686,2614325,mortgage,22.8,24,2020-02-18,active,600-700,2319650.689423755,0.0
119,516,2771623,auto,13.6,60,2022-06-14,paid,600-700,2895590.0723629408,0.0
120,1057,1686850,auto,15.7,24,2021-06-05,default,600-700,1494241.300652788,167207.11786823202
121,315,3793799,personal,24.1,12,2020-02-09,paid,700+,3211802.8790561417,0.0
122,506,1866759,auto,11.0,24,2022-07-02,active,300-500,1900790.0032524122,0.0
123,498,3896932,auto,10.8,60,2020-06-01,active,500-600,4461511.929457492,0.0
124,1022,442184,personal,21.0,24,2020-04-15,paid,700+,474927.18965336395,0.0
125,814,1219725,business,10.6,60,2021-07-06,active,300-500,1375227.8073524218,0.0
126,803,2346806,personal,21.6,120,2021-11-06,paid,600-700,2127459.594107845,0.0
127,860,4632295,personal,6.9,60,2022-02-08,active,600-700,5347481.790603981,0.0
128,598,3344944,auto,7.2,60,2020-07-29,paid,600-700,3180425.1699055396,0.0
129,853,2918087,mortgage,23.0,60,2020-07-20,active,500-600,3329476.183101524,0.0
130,564,668139,personal,15.8,120,2021-03-08,active,500-600,660435.5150505519,0.0
131,790,2980424,personal,19.4,36,2021-12-07,active,600-700,2703670.9443107042,0.0
132,1048,4115513,auto,9.5,60,2021-07-18,default,300-500,3720849.840982228,416366.8730474177
133,1073,4327293,auto,8.3,36,2020-05-26,active,600-700,4444420.504934388,0.0
134,830,4480697,mortgage,21.7,12,2021-05-13,default,500-600,3726166.0322740013,416961.7602477282
135,181,3071481,business,12.2,24,2020-10-08,active,500-600,3599844.7722443626,0.0
136,703,2741801,personal,14.1,36,2020-11-05,active,500-600,2491160.3535878966,0.0
137,1046,309850,personal,5.6,12,2022-01-24,paid,700+,289477.3399238153,0.0
138,786,3961382,mortgage,12.7,24,2020-02-20,active,600-700,3538784.230225021,0.0
139,850,51139,auto,20.4,60,2021-05-09,active,600-700,40972.729638045894,0.0
140,871,4843511,personal,21.4,60,2021-02-12,active,700+,5216558.676014407,0.0
141,1002,781965,personal,19.0,60,2021-09-17,default,600-700,810288.6797028907,90672.12552295647
142,464,313446,auto,18.8,120,2020-09-29,paid,700+,352268.73701865,0.0
143,262,3381484,business,15.1,120,2021-04-02,active,300-500,2760658.109700846,0.0
144,147,1408558,mortgage,15.8,120,2020-04-29,active,700+,1650072.5350537105,0.0
145,610,995663,personal,19.9,120,2021-12-01,active,500-600,928311.1533605295,0.0
146,428,2771158,business,9.9,12,2020-02-15,paid,700+,3229030.7416167324,0.0
147,939,1727479,auto,9.6,12,2020-08-30,active,700+,1456010.1542042205,0.0
148,215,1808432,mortgage,24.0,60,2020-11-06,paid,500-600,1984877.5139953224,0.0
149,1040,1055716,auto,5.6,24,2021-07-15,active,500-600,1089227.901861924,0.0
150,948,3833873,auto,7.8,120,2020-11-26,paid,600-700,3616402.251597628,0.0
151,436,2971937,business,16.4,24,2020-01-11,active,300-500,2471632.085896796,0.0
152,980,4104638,auto,19.8,12,2022-06-26,paid,600-700,4276600.183321723,0.0
153,836,2945012,mortgage,15.8,120,2021-02-27,active,300-500,2387155.909172509,0.0
154,963,3703793,mortgage,12.1,12,2020-02-17,active,700+,3705692.451936916,0.0
155,939,2130700,mortgage,24.6,12,2021-01-11,paid,500-600,2219514.884977416,0.0
156,246,2563589,mortgage,19.1,36,2021-07-21,default,600-700,2802027.1283140285,313549.67909755
157,674,1708413,auto,21.6,12,2020-01-08,active,300-500,2044173.9905839886,0.0
158,905,2541069,business,5.8,60,2022-09-10,late,500-600,2297221.628995785,0.0
159,422,4648807,mortgage,9.7,12,2021-06-09,active,500-600,4318536.823331905,0.0
160,542,147799,mortgage,12.5,120,2021-12-27,active,500-600,138407.5764452089,0.0
161,936,4970124,mortgage,8.7,60,2021-01-04,active,300-500,5430521.917677872,0.0
162,112,191789,mortgage,6.5,12,2021-03-15,active,700+,224916.27425582873,0.0
163,1042,3827780,mortgage,9.5,60,2022-01-26,paid,300-500,4554022.78486932,0.0
164,593,4180163,personal,15.7,12,2021-07-19,active,600-700,4925588.671786291,0.0
165,800,4638656,mortgage,18.9,60,2021-04-28,active,500-600,5342586.906014544,0.0
166,386,812009,personal,20.5,24,2020-09-29,active,600-700,971480.2185354866,0.0
167,819,4316080,personal,5.9,36,2022-07-29,active,500-600,4101908.733070334,0.0
168,213,222803,auto,13.6,60,2022-06-19,paid,600-700,262757.9340238687,0.0
169,579,2265913,personal,7.4,120,2020-05-10,paid,600-700,2502492.4104209626,0.0
170,121,2464244,personal,13.6,36,2021-06-04,active,300-500,2137445.6792330653,0.0
171,448,4225645,personal,13.7,36,2021-12-24,active,500-600,3457363.897530944,0.0
172,825,1264329,personal,15.0,12,2021-09-25,paid,300-500,1119934.5151880907,0.0
173,782,2880581,auto,22.9,60,2020-04-23,active,300-500,3201767.0769406296,0.0
174,934,3504679,mortgage,21.1,36,2021-06-15,active,300-500,3689301.11759914,0.0
175,665,88840,auto,17.7,120,2021-05-13,active,500-600,79044.72396107181,0.0
176,1005,171297,personal,22.7,120,2020-12-04,active,600-700,187873.1677546322,0.0
177,909,2979656,personal,18.6,120,2020-01-21,paid,500-600,2552161.463470191,0.0
178,419,1941375,personal,21.4,12,2021-12-20,active,500-600,2191300.934400969,0.0
179,225,4253460,auto,16.3,24,2020-02-02,late,300-500,4753940.777940988,0.0
180,376,2315433,mortgage,15.5,60,2020-05-12,active,600-700,2753120.199031927,0.0
181,1075,4230242,business,19.5,36,2022-07-08,active,500-600,3638481.1704146625,0.0
182,303,2097001,mortgage,5.4,60,2021-12-03,late,600-700,2438068.1423601643,0.0
183,293,2691722,mortgage,18.8,36,2022-09-01,paid,600-700,2520639.0176794697,0.0
184,780,3465673,auto,23.7,12,2020-01-26,paid,600-700,3349309.3759219046,0.0
185,763,4606985,business,19.3,60,2020-12-29,active,500-600,4548835.751217362,0.0
186,646,1741530,personal,5.7,12,2021-08-23,paid,600-700,1829932.8863095387,0.0
187,795,3422635,personal,12.6,12,2020-04-01,active,500-600,4099992.7709135865,0.0
188,385,151900,mortgage,21.2,60,2021-06-28,active,700+,157973.49687363597,0.0
189,156,3383694,mortgage,24.2,60,2020-08-25,default,600-700,3961244.3648968143,443267.26422085374
190,833,3987497,business,12.4,36,2020-01-18,default,500-600,3596767.2762912908,402481.90814208006
191,402,678875,mortgage,21.8,120,2020-09-30,paid,700+,651288.6867659038,0.0
192,262,4800287,personal,22.3,12,2022-07-22,default,600-700,4808926.613068054,538123.7680016388
193,118,263078,business,7.5,24,2020-10-15,active,500-600,244441.7638676391,0.0
194,469,378893,auto,21.9,36,2020-01-27,active,300-500,451165.6428973856,0.0
195,363,3111883,personal,11.5,36,2022-03-27,default,600-700,3392803.3259009453,379658.1351149996
196,893,725295,business,16.9,120,2021-03-09,active,700+,719168.1001324999,0.0
197,212,1888798,personal,15.8,120,2022-06-29,active,700+,2078663.5268142621,0.0
198,587,4010740,personal,18.3,12,2020-04-17,active,600-700,3958508.131508301,0.0
199,426,1002652,business,19.8,36,2022-08-30,active,500-600,809030.0035744424,0.0
200,641,1064212,mortgage,13.8,36,2022-08-05,late,600-700,1082598.7771650616,0.0
201,746,2368730,personal,22.8,24,2022-01-07,active,600-700,2487341.993294488,0.0
202,678,3495001,personal,21.2,12,2020-11-19,active,500-600,4167729.163851517,0.0
203,164,2090563,auto,20.7,12,2022-05-16,paid,500-600,1706562.4076953048,0.0
204,391,1978972,personal,14.2,120,2021-06-14,active,600-700,1988547.8160355606,0.0
205,124,293816,mortgage,5.8,12,2022-01-04,paid,700+,246588.57519880962,0.0
206,648,1850820,mortgage,14.8,24,2022-03-03,active,600-700,1590961.837818226,0.0
207,100,4725697,personal,23.0,12,2020-04-13,paid,300-500,4934503.507829324,0.0
208,1010,2686073,mortgage,8.8,60,2022-04-23,active,300-500,2397661.511836323,0.0
209,648,2687374,auto,24.7,60,2020-11-27,active,700+,2955223.611266942,0.0
210,240,2734903,mortgage,21.2,24,2020-12-27,active,700+,2750435.818789955,0.0
211,843,135851,personal,19.2,120,2022-07-09,active,500-600,120538.57546506023,0.0
212,747,2660527,personal,18.5,36,2020-10-15,paid,600-700,2653920.0362531715,0.0
213,1000,4871282,mortgage,16.7,12,2021-03-19,active,700+,3898743.6561665777,0.0
214,287,804878,auto,19.4,120,2020-02-06,default,700+,921662.5923436943,103134.97936740678
215,227,2063262,personal,13.4,120,2020-12-13,active,600-700,1661073.125440331,0.0
216,300,1947135,personal,21.9,12,2022-06-10,paid,500-600,1563167.6828071063,0.0
217,226,2418163,mortgage,18.9,36,2022-01-25,paid,600-700,2526016.88390045,0.0
218,356,2551396,mortgage,20.4,12,2020-02-12,active,300-500,3034651.7583908457,0.0
219,775,236179,personal,20.8,36,2020-05-05,active,700+,269804.6057604953,0.0
220,646,2082171,auto,6.8,24,2020-01-09,default,300-500,1875635.3884981163,209885.50332896094
221,293,3658444,personal,6.1,36,2021-06-09,active,600-700,3214553.006096954,0.0
222,802,4554340,auto,21.0,120,2020-05-10,active,600-700,4784083.099498468,0.0
223,203,2489340,mortgage,10.2,24,2020-11-20,default,600-700,2810602.0196687756,314509.2181417687
224,634,1210346,mortgage,16.6,60,2020-07-02,late,600-700,1143572.988403667,0.0
225,364,495287,personal,13.9,24,2020-10-08,paid,300-500,481885.44319965516,0.0
226,901,3993820,auto,5.4,36,2022-06-13,active,600-700,3379553.7318065907,0.0
227,1041,3977610,personal,5.8,24,2020-02-22,active,500-600,3425241.560579812,0.0
228,1073,1770399,personal,21.5,24,2021-07-06,late,500-600,1818802.8381929891,0.0
229,483,305901,mortgage,17.2,60,2022-04-29,active,700+,257281.84705623708,0.0
230,359,3094903,auto,15.5,36,2022-05-19,active,600-700,2726047.6631076834,0.0
231,513,4145247,personal,23.9,120,2021-06-16,paid,600-700,3705315.291901676,0.0
232,1090,4153403,personal,8.5,24,2021-01-11,active,600-700,4060241.3952092365,0.0
233,457,2213531,auto,10.2,12,2020-10-21,active,600-700,1811210.1986234228,0.0
234,174,1079412,auto,20.1,120,2020-07-26,default,600-700,1079313.1136388073,120776.2326808202
235,454,4425743,personal,20.5,24,2022-09-26,active,600-700,5184624.101351105,0.0
236,683,2042623,mortgage,13.1,120,2021-10-24,active,700+,1654086.4147464095,0.0
237,870,1245296,mortgage,24.0,12,2021-04-21,active,500-600,1310541.9714813582,0.0
238,1009,3313131,mortgage,23.8,120,2022-08-27,active,600-700,3758206.900438758,0.0
239,287,2963028,auto,5.2,120,2022-08-11,late,600-700,2740754.4901507213,0.0
240,1072,4821701,personal,8.4,12,2020-03-09,active,500-600,4111018.040015097,0.0
241,784,407595,auto,21.4,12,2022-04-22,active,500-600,333142.0322922391,0.0
242,1091,3803092,mortgage,11.7,12,2022-07-13,active,700+,4022002.62964633,0.0
243,389,1741041,mortgage,6.9,60,2022-04-09,default,300-500,1777417.8790353588,198894.86435098
244,144,3600511,mortgage,20.7,12,2021-03-12,paid,500-600,3210640.451180104,0.0
245,672,2427209,business,14.1,120,2020-10-27,active,500-600,2749170.805455819,0.0
246,182,536925,personal,14.8,12,2020-01-27,active,300-500,587504.6992517587,0.0
247,222,2935609,personal,8.7,24,2021-09-19,default,700+,2673081.931626506,299120.580737296
248,457,3918005,personal,18.2,12,2022-07-18,active,500-600,4315076.0361595,0.0
249,627,766547,business,16.0,12,2021-10-15,active,500-600,688357.4317505506,0.0
250,165,616752,auto,9.1,36,2021-07-06,active,700+,659990.6230564007,0.0
251,1035,1349462,mortgage,11.8,120,2020-04-15,active,500-600,1143558.4112870558,0.0
252,756,2220920,personal,16.9,120,2021-08-08,late,600-700,2391699.3875623946,0.0
253,474,4833416,auto,23.5,24,2021-07-25,paid,700+,4328371.238839825,0.0
254,261,1147317,auto,23.4,60,2022-03-20,paid,600-700,1180575.1288402164,0.0
255,845,2967532,mortgage,10.8,36,2021-09-25,paid,600-700,2578742.4174906802,0.0
256,479,2176354,personal,19.7,24,2022-08-04,paid,300-500,2373067.6280829213,0.0
257,755,309189,personal,20.5,24,2021-12-15,paid,300-500,254880.51789080532,0.0
258,457,1569049,mortgage,21.2,120,2020-01-11,active,500-600,1359058.6451860077,0.0
259,287,2264851,auto,16.4,36,2022-07-19,active,300-500,1978697.4762287776,0.0
260,421,2384494,personal,5.2,120,2021-10-20,paid,600-700,1947028.6129629377,0.0
261,549,865953,mortgage,20.2,60,2020-08-03,active,500-600,950820.7293626053,0.0
262,573,514655,personal,7.1,120,2022-06-04,active,600-700,613664.8445307721,0.0
263,112,3786487,auto,7.3,12,2020-11-16,active,500-600,4208146.842659834,0.0
264,283,3971635,mortgage,17.1,120,2021-04-04,active,500-600,4544554.409153592,0.0
265,210,246824,personal,24.7,12,2022-08-14,active,500-600,198052.33390213398,0.0
266,1026,3667942,mortgage,9.9,24,2022-03-25,active,300-500,3107289.676266924,0.0
267,607,1077979,personal,17.9,60,2021-06-09,active,600-700,1103428.0745330947,0.0
268,389,3159409,personal,11.1,12,2021-08-01,paid,600-700,3763322.302175462,0.0
269,394,4558003,auto,23.0,60,2021-11-22,paid,700+,4851015.008742603,0.0
270,550,4035282,personal,16.9,120,2022-05-26,paid,700+,3832124.4263123106,0.0
271,1003,1698124,personal,9.1,120,2022-01-23,paid,600-700,1457771.057288559,0.0
272,314,3853380,personal,10.2,24,2020-06-08,active,600-700,3318277.603208088,0.0
273,1073,4176289,personal,13.6,120,2021-04-08,active,300-500,3947016.0834201435,0.0
274,731,2736826,personal,7.4,12,2022-09-24,active,300-500,2970890.5228624837,0.0
275,993,1816242,personal,6.6,24,2021-06-05,paid,700+,1476110.2131078665,0.0
276,666,103246,mortgage,18.6,60,2021-09-27,active,500-600,117790.37104321935,0.0
277,126,218886,personal,13.1,24,2020-09-29,paid,500-600,257545.7710209595,0.0
278,729,2377713,auto,19.5,60,2020-08-28,active,300-500,2747510.5811272576,0.0
279,832,1439608,personal,7.2,36,2022-07-24,paid,300-500,1677446.737193217,0.0
280,330,4073068,personal,17.2,12,2022-08-21,active,600-700,3283445.5712566357,0.0
281,664,3400888,personal,13.9,12,2022-08-16,paid,500-600,4050855.261522483,0.0
282,906,2294798,auto,6.2,60,2021-10-16,active,500-600,2172124.629814457,0.0
283,420,1542337,mortgage,15.9,120,2022-05-14,active,300-500,1770159.3729023952,0.0
284,1012,793566,auto,6.7,120,2020-06-15,active,600-700,694150.867314244,0.0
285,332,2921259,personal,21.6,36,2021-07-22,late,600-700,2858774.1377934976,0.0
286,769,2077791,auto,17.6,60,2021-10-11,active,500-600,1698938.5476813605,0.0
287,536,4739924,personal,16.1,36,2020-11-22,paid,600-700,3867922.0717036966,0.0
288,880,789105,personal,7.7,60,2022-05-14,paid,500-600,929021.5549991302,0.0
289,632,926992,mortgage,10.7,36,2021-06-12,paid,600-700,1042163.9379846076,0.0
290,502,230326,personal,14.9,60,2022-04-23,active,600-700,233073.88540226052,0.0
291,152,4523552,business,17.7,12,2020-09-29,active,700+,4569616.548777685,0.0
292,886,3532810,personal,8.7,36,2022-05-28,active,500-600,3884331.1214795425,0.0
293,412,3236458,business,5.2,36,2021-01-10,late,300-500,3031485.064585626,0.0
294,380,1456743,mortgage,11.9,60,2022-06-30,late,500-600,1609333.493810787,0.0
295,825,4494781,mortgage,14.7,24,2021-01-09,paid,300-500,4467827.380493816,0.0
296,130,910853,personal,8.7,24,2020-11-29,active,300-500,961101.9920776467,0.0
297,436,4457321,personal,14.8,12,2020-01-03,active,500-600,5286078.627745286,0.0
298,282,661824,business,11.8,120,2020-08-30,late,500-600,654230.3790161159,0.0
299,122,4537549,personal,14.1,120,2021-09-11,active,700+,4389451.858171138,0.0
300,643,2916405,mortgage,11.9,12,2020-02-20,paid,300-500,3389736.5678513795,0.0
301,545,3181222,business,17.6,120,2022-05-31,active,700+,3693501.170879504,0.0
302,173,4579146,personal,5.9,60,2020-12-15,active,700+,5481088.8516214155,0.0
303,109,2480856,mortgage,8.4,24,2020-06-22,paid,700+,2531329.510804806,0.0
304,583,3149782,mortgage,13.7,12,2020-04-25,active,700+,2953565.122087142,0.0
305,555,2387942,personal,12.1,60,2021-11-25,active,600-700,2139968.611297877,0.0
306,665,1660224,personal,12.8,12,2020-12-26,late,600-700,1350822.2360494863,0.0
307,663,1358055,mortgage,21.1,24,2020-12-20,default,500-600,1481218.9767010857,165749.90660325135
308,759,865783,personal,22.7,120,2021-10-27,paid,600-700,773482.2808500784,0.0
309,259,2240653,auto,10.0,60,2022-01-28,paid,700+,2336231.08776141,0.0
310,981,594942,personal,21.7,24,2020-03-16,active,500-600,694081.3180138497,0.0
311,113,4573870,business,14.2,12,2022-07-15,active,300-500,5397557.404981442,0.0
312,277,1430654,personal,10.5,36,2022-01-25,active,600-700,1147046.9503277868,0.0
313,511,2227127,mortgage,24.7,60,2020-03-21,active,600-700,2064168.1453616521,0.0
314,977,733503,mortgage,21.5,12,2020-08-16,active,700+,832490.1186987329,0.0
315,152,3509058,personal,24.9,12,2020-03-12,paid,300-500,3560213.335760179,0.0
316,507,3522106,personal,8.4,24,2021-02-06,active,600-700,3955337.3420999562,0.0
317,946,358848,auto,7.9,12,2020-08-05,default,500-600,409563.74135993136,45830.59827499512
318,121,2007179,auto,15.1,60,2021-03-27,active,700+,1961115.2214062419,0.0
319,129,1491177,personal,17.8,60,2022-06-29,active,300-500,1407064.4402299942,0.0
320,802,176991,mortgage,8.4,12,2022-01-24,active,700+,173835.8356766194,0.0
